,Ewe_a_100,Ewe_a_10,Ewe_a_1,Ewe_a_pt1,alpha100_1000mean,alpha100_1000stddev,alpha10_1000mean,alpha10_1000stddev,alpha1_1000mean,alpha1_1000stddev,alphapt1_1000mean,alphapt1_1000stddev,alpha100_500mean,alpha100_500stddev,alpha10_500mean,alpha10_500stddev,alpha1_500mean,alpha1_500stddev,alphapt1_500mean,alphapt1_500stddev,alpha100_250mean,alpha100_250stddev,alpha10_250mean,alpha10_250stddev,alpha1_250mean,alpha1_250stddev,alphapt1_250mean,alphapt1_250stddev
438,0.914942813,0.919029658,0.921628917,0.922842137,0.058045375,0.005536435,-0.004257195,0.005157835,-0.150787234,0.015446869,-0.305809041,0.032968222,0.089290406,0.020228366,0.040689627,0.015990194,-0.134982,0.027250865,-0.351173276,0.021753084,0.094147203,0.023043071,0.043398209,0.014190031,-0.091406568,0.011646974,-0.317717455,0.015611324
439,0.915879133,0.919990437,0.922655067,0.923917569,0.064920646,0.005617459,-0.00597075,0.007535248,-0.152727671,0.007737176,-0.283229644,0.039541913,0.089816465,0.025417402,0.029435349,0.005433643,-0.159290092,0.043567578,-0.338594811,0.025937276,0.096122407,0.021905806,0.036024286,0.004767098,-0.096898166,0.017145537,-0.314161659,0.003650919
440,0.916857205,0.921025794,0.92367352,0.924959201,0.055748466,0.010717213,-0.008654706,0.006809328,-0.157110849,0.013004795,-0.323803302,0.023126923,0.089787891,0.018180961,0.030273202,0.011000322,-0.153385573,0.034926152,-0.366094192,0.041776083,0.095252363,0.020828425,0.042094652,0.008676402,-0.100560202,0.017050722,-0.3039179,0.024732868
441,0.917846582,0.922006439,0.924661737,0.925962064,0.061731097,0.006913305,-0.011371831,0.006699311,-0.165703764,0.009184416,-0.331063064,0.026443279,0.089940273,0.02151905,0.02600259,0.011080205,-0.162725107,0.041132615,-0.347190984,0.027291437,0.094138644,0.021679023,0.033722391,0.00972155,-0.104221271,0.015175425,-0.316246777,0.005423077
442,0.918875784,0.923043849,0.925671532,0.926921451,0.052208608,0.009341345,-0.013891438,0.006794019,-0.177970194,0.015258666,-0.331137094,0.037429931,0.088513896,0.023534991,0.028688841,0.012716729,-0.169456518,0.010629547,-0.357275094,0.014393771,0.093169403,0.024633694,0.034787793,0.009184055,-0.127434461,0.034699937,-0.322190492,0.019073314
443,0.919780423,0.92404409,0.92669063,0.927900991,0.055545358,0.011147541,-0.016517101,0.005410967,-0.177870542,0.008098608,-0.343618008,0.033500398,0.083910242,0.026109375,0.021536285,0.00800394,-0.166970956,0.040330058,-0.36413965,0.032260626,0.093303187,0.02099282,0.029102383,0.008963437,-0.112295562,0.008973884,-0.324962718,0.021258286
444,0.920749721,0.925038658,0.927715135,0.928907013,0.060352947,0.009516109,-0.019615371,0.008682332,-0.174455349,0.011494316,-0.340221427,0.042953253,0.082898504,0.022343985,0.020100963,0.004996101,-0.175354185,0.037822154,-0.381474413,0.034493147,0.092795474,0.019657754,0.027988268,0.007872102,-0.119160695,0.013189406,-0.328025155,0.012816651
445,0.921731371,0.926087759,0.928735828,0.929952269,0.051464209,0.012948622,-0.030355254,0.018778663,-0.187243949,0.021087911,-0.342603018,0.025166511,0.085606019,0.027072761,0.026213754,0.008205371,-0.182327616,0.031269711,-0.369894904,0.017433214,0.094114229,0.022378535,0.028549774,0.012972596,-0.13603609,0.017404325,-0.333335102,0.018637555
446,0.922768198,0.927074615,0.929717425,0.930943427,0.04815004,0.009891299,-0.025089544,0.00562023,-0.200124978,0.011066941,-0.351270134,0.030196502,0.085955697,0.022767208,0.014415701,0.006766376,-0.196242201,0.04583534,-0.384166249,0.027804987,0.09289611,0.021057585,0.026462963,0.012944692,-0.127636046,0.018416629,-0.328144783,0.02674552
447,0.923777061,0.928065258,0.930750619,0.931921996,0.050871504,0.011508825,-0.027728381,0.006996376,-0.191984487,0.002078406,-0.360542708,0.055180855,0.0833784,0.021202649,0.013854883,0.007761593,-0.186945861,0.037748858,-0.383725545,0.020534153,0.088369729,0.018556358,0.024594306,0.007558085,-0.127915449,0.0154945,-0.344905055,0.016989845
