,Ewe_a_100,Ewe_a_10,Ewe_a_1,Ewe_a_pt1,alpha100_1000mean,alpha100_1000stddev,alpha10_1000mean,alpha10_1000stddev,alpha1_1000mean,alpha1_1000stddev,alphapt1_1000mean,alphapt1_1000stddev,alpha100_500mean,alpha100_500stddev,alpha10_500mean,alpha10_500stddev,alpha1_500mean,alpha1_500stddev,alphapt1_500mean,alphapt1_500stddev,alpha100_250mean,alpha100_250stddev,alpha10_250mean,alpha10_250stddev,alpha1_250mean,alpha1_250stddev,alphapt1_250mean,alphapt1_250stddev
52,0.546285916,0.54623149,0.546252137,0.546244897,0.258682358,0.024077371,0.324967687,0.031028779,0.390052665,0.072458206,0.455903111,0.014808478,0.275612784,0.054220569,0.367737018,0.059017004,0.405335239,0.119048121,0.661906773,0.143444082,0.303770445,0.02971726,0.370668777,0.055468744,0.392650199,0.141271182,0.667075919,0.27450318
53,0.547248162,0.547247972,0.547224427,0.547290338,0.268209049,0.014473632,0.318232447,0.031009379,0.368600174,0.061445359,0.395790552,0.041910937,0.295838591,0.060135575,0.351374225,0.073986852,0.435874508,0.034367335,0.645704599,0.090521187,0.307975889,0.049071766,0.380049693,0.052686605,0.446974896,0.024237023,0.633600593,0.19583201
54,0.548256971,0.548225206,0.548212548,0.548280574,0.273849046,0.020468685,0.32964839,0.014702202,0.361323564,0.009371043,0.451841789,0.098134994,0.290393009,0.084693075,,0.065391269,0.476884514,0.098093448,0.588909171,0.127787151,0.333197084,0.047402796,0.378307107,0.050150538,0.429726757,0.130415855,0.641591641,0.121262264
55,0.549256294,0.549232152,0.54926638,0.549243297,0.270895951,0.018771022,0.309992836,0.008234743,0.353634977,0.049228678,0.470844536,0.076501272,0.2823843,0.0577447,0.833670233,0.824921741,0.400291609,0.068470845,0.633922148,0.084372308,0.294983996,0.045175544,0.37286462,0.037789466,0.409618751,0.078050201,0.583964056,0.20160129
56,0.550276835,0.550239032,0.550285089,0.550298125,0.262099921,0.017105097,0.327844921,0.029815257,0.369695662,0.021033095,0.415064761,0.039964607,0.289623823,0.062462558,,0.073540413,0.418282689,0.074807344,0.560526447,0.141153846,0.315476228,0.04088615,0.376573367,0.053057402,0.429446241,0.071881732,0.651490658,0.15673124
57,0.551230833,0.551218399,0.551191304,0.551267207,0.27631682,0.015391105,0.325957359,0.018891885,0.375590336,0.052561633,0.398925814,0.079447766,0.293987011,0.070788126,0.359437955,0.068252282,0.407454514,0.083623391,0.586296768,0.052987598,0.31130983,0.054854571,0.368937889,0.061015962,0.407676858,0.082798522,0.532763386,0.137889777
58,0.552257908,0.552240299,0.552259942,0.552229752,0.263877162,0.024074125,0.325739238,0.037727414,0.353247657,0.064753345,0.441377399,0.047027381,0.298355923,0.054670118,,0.062137616,0.435590602,0.028442188,0.56113193,0.16928596,0.312518679,0.042748208,,0.050396142,0.403498079,0.064335404,0.646165529,0.199067718
59,0.553214991,0.553221956,0.553255377,0.5532114,0.266281744,0.01015732,0.322034468,0.012855384,0.366781457,0.028848775,0.441448198,0.03876346,0.291924815,0.066821061,,0.464544674,0.429160309,0.052194983,0.596160073,0.098088222,0.314260349,0.051565261,,0.449919055,0.408387981,0.072941252,0.602274178,0.134905593
60,0.554240824,0.554223785,0.554250909,0.554262118,0.274570038,0.025520226,0.323257017,0.021302568,0.358530789,0.047819388,0.39725358,0.106446551,0.28672137,0.060950819,,0.492612445,0.419707392,0.077186799,0.631617595,0.120243636,0.309046055,0.035386475,,0.480439966,0.40968872,0.087194426,0.581962431,0.185869182
61,0.555220129,0.555180857,0.55524533,0.555243948,0.269318785,0.016645177,0.314790577,0.017421607,,0.041442377,0.433522086,0.0881935,0.289288667,0.063512967,,0.050872766,0.416283713,0.065307575,0.498532691,0.094205356,0.31808143,0.038598651,,0.051747493,0.408424415,0.07371346,0.572803496,0.138088919
