EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.802 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.530              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.370               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	3.480506012776939E+003	-1.9570827E-001	-1.9648115E-001	1.931982478174409E-002	1.000000000000000E+000	3.2766844E-004	13	-1.3144860E-001	3.8229628E+000	1.653049958241172E+001	-3.7959815E-006	-6.5032557E-002
2	1	0	1	0	3.480756112770614E+003	-1.9070651E-001	-1.9148222E-001	1.929681246066206E-002	1.000000000000000E+000	3.3284680E-004	13	-1.3382065E-001	3.8229628E+000	1.678059957608639E+001	-3.6949964E-006	-5.7661563E-002
2	1	0	1	0	3.481006212764303E+003	-1.8570428E-001	-1.8648562E-001	1.924235534895433E-002	1.000000000000000E+000	3.3801727E-004	13	-1.3612007E-001	3.8229628E+000	1.703069956977561E+001	-3.5884225E-006	-5.0365552E-002
2	1	0	1	0	3.481256212757988E+003	-1.8070428E-001	-1.8147330E-001	1.921910260642459E-002	1.000000000000000E+000	3.4317447E-004	13	-1.3838816E-001	3.8229628E+000	1.728069956346008E+001	-3.4877539E-006	-4.3085143E-002
2	1	0	1	0	3.481506212751672E+003	-1.7570429E-001	-1.7648163E-001	1.922658380385517E-002	1.000000000000000E+000	3.4833120E-004	13	-1.4060314E-001	3.8229628E+000	1.753069955714454E+001	-3.3931390E-006	-3.5878494E-002
2	1	0	1	0	3.481756212745357E+003	-1.7070426E-001	-1.7150146E-001	1.919635091662786E-002	1.000000000000000E+000	3.5348270E-004	13	-1.4277124E-001	3.8229628E+000	1.778069955082901E+001	-3.2922021E-006	-2.8730214E-002
2	1	0	1	0	3.482006212739041E+003	-1.6570425E-001	-1.6648409E-001	1.917798081404997E-002	1.000000000000000E+000	3.5863067E-004	13	-1.4491054E-001	3.8229628E+000	1.803069954451348E+001	-3.1928287E-006	-2.1573544E-002
2	1	0	1	0	3.482256212732726E+003	-1.6070426E-001	-1.6145499E-001	1.914496952271866E-002	1.000000000000000E+000	3.6377090E-004	13	-1.4698491E-001	3.8229628E+000	1.828069953819795E+001	-3.0910510E-006	-1.4470086E-002
2	1	0	1	0	3.482506212726410E+003	-1.5570423E-001	-1.5648650E-001	1.908548434302976E-002	1.000000000000000E+000	3.6890211E-004	13	-1.4900652E-001	3.8229628E+000	1.853069953188242E+001	-2.9866205E-006	-7.4799806E-003
2	1	0	1	0	3.482756212720094E+003	-1.5070421E-001	-1.5146831E-001	1.907220109980440E-002	1.000000000000000E+000	3.7402438E-004	13	-1.5098548E-001	3.8229628E+000	1.878069952556689E+001	-2.8888339E-006	-4.8282743E-004
