material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Pd100,0.25,0.01,41,3,2.875398243946186,0.07744575152171454,0.9992750897311697,0.0007249102688304132
Pd100,0.25,0.1,41,3,4.0389366015895085,0.1468109202427203,0.998680500531146,0.001319499468854065
Pd100,0.25,1.0,41,3,5.911476441901944,0.1136889243479081,0.9996302707689795,0.0003697292310207165
Pd100,0.5,0.001,40,3,2.918218640862636,0.18781286923651613,0.9958750386143386,0.00412496138566128
Pd100,0.5,0.01,41,3,2.648769821410208,0.14288642332146664,0.9970984401836307,0.0029015598163690437
Pd100,0.5,0.1,41,3,3.7281486134043336,0.13228457504041663,0.9987425650128025,0.001257434987197771
Pd100,0.5,1.0,41,3,5.661431328256508,0.12376724393337901,0.9995223041785325,0.00047769582146757586
Pd100,1.0,0.001,41,3,3.100645555212717,0.08071675497357472,0.9993227813203848,0.0006772186796146889
Pd100,1.0,0.01,41,3,2.71448293989824,0.06920773900645212,0.9993503897400235,0.0006496102599763583
Pd100,1.0,0.1,41,3,3.771961502043535,0.06298303996886977,0.9997212648979721,0.0002787351020281398
Pd100,1.0,1.0,41,3,5.755090085331915,0.05919700696217167,0.9998942088595311,0.00010579114046863983
